report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-07-08,3.0,2.0,5.0,0.0,89,24393085.0,0.0,24393080.0,0.9994224583733148,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460922452,0,2,24393083,0,powerlaw
2003-07-09,3.0,2.0,5.0,0.0,90,24394072.0,0.0,24394067.0,0.9994224583734712,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460931515,0,2,24394070,0,powerlaw
2003-07-10,3.0,2.0,5.0,0.0,91,24395058.0,0.0,24395053.0,0.9994224583736444,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224609405574,0,2,24395056,0,powerlaw
2003-07-11,3.0,2.0,5.0,0.0,92,24396044.0,0.0,24396039.0,0.9994224583738136,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224609495796,0,2,24396042,0,powerlaw
2003-08-15,3.0,2.0,5.0,0.0,127,24430588.0,0.0,24430583.0,0.9994224583796644,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224612515727,0,2,24430586,0,powerlaw
2003-04-10,75.0,9.0,126.0,42.0,0,4112108.0,2.918212001779137e-05,4111982.0,0.9999997446526,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.9999997446526,75,9,4111982,42,poisson
2003-04-11,77.0,9.0,133.0,47.0,1,4112186.0,2.918212001779137e-05,4112053.0,0.9999997304766288,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.9999997447934712,75,10,4112060,41,poisson
2003-04-12,77.0,9.0,147.0,61.0,2,4112264.0,2.918212001779137e-05,4112117.0,0.9999997021165412,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.999999744934114,75,10,4112138,41,poisson
2003-04-14,84.0,12.0,158.0,62.0,4,4112419.0,2.918212001779137e-05,4112261.0,0.9999996798496491,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.99999974521466,75,12,4112293,39,poisson
2003-04-15,85.0,13.0,162.0,64.0,5,4112497.0,2.918212001779137e-05,4112335.0,0.999999671756869,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.9999997453546352,75,13,4112371,38,poisson
2003-04-16,85.0,13.0,162.0,64.0,6,4112575.0,2.918212001779137e-05,4112413.0,0.9999996717693199,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.999999745494393,75,14,4112449,37,poisson
2003-04-17,91.0,15.0,167.0,61.0,7,4112653.0,2.918212001779137e-05,4112486.0,0.9999996616513724,3.0967276986038066e-05,1.2061063793478155e-05,Singapore,0.9484591490740668,0.0001,0.01255,2.1000000000000002e-06,0.9999997456345088,75,14,4112527,36,poisson
